V,II
-1.2,4.12E-05
-1.197,4.11E-05
-1.194,4.10E-05
-1.191,4.08E-05
-1.188,4.06E-05
-1.185,4.04E-05
-1.182,4.02E-05
-1.179,4.01E-05
-1.176,3.99E-05
-1.173,3.98E-05
-1.17,3.96E-05
-1.167,3.95E-05
-1.164,3.94E-05
-1.161,3.92E-05
-1.158,3.91E-05
-1.155,3.90E-05
-1.152,3.89E-05
-1.149,3.88E-05
-1.146,3.87E-05
-1.143,3.86E-05
-1.14,3.85E-05
-1.137,3.84E-05
-1.134,3.84E-05
-1.131,3.83E-05
-1.128,3.82E-05
-1.125,3.81E-05
-1.122,3.80E-05
-1.119,3.80E-05
-1.116,3.79E-05
-1.113,3.79E-05
-1.11,3.78E-05
-1.107,3.78E-05
-1.104,3.77E-05
-1.101,3.77E-05
-1.098,3.77E-05
-1.095,3.76E-05
-1.092,3.76E-05
-1.089,3.75E-05
-1.086,3.75E-05
-1.083,3.75E-05
-1.08,3.74E-05
-1.077,3.74E-05
-1.074,3.74E-05
-1.071,3.74E-05
-1.068,3.74E-05
-1.065,3.74E-05
-1.062,3.74E-05
-1.059,3.74E-05
-1.056,3.74E-05
-1.053,3.74E-05
-1.05,3.74E-05
-1.047,3.74E-05
-1.044,3.75E-05
-1.041,3.75E-05
-1.038,3.75E-05
-1.035,3.75E-05
-1.032,3.76E-05
-1.029,3.76E-05
-1.026,3.77E-05
-1.023,3.77E-05
-1.02,3.78E-05
-1.017,3.78E-05
-1.014,3.79E-05
-1.011,3.79E-05
-1.008,3.80E-05
-1.005,3.80E-05
-1.002,3.81E-05
-0.999,3.81E-05
-0.996,3.82E-05
-0.993,3.83E-05
-0.99,3.84E-05
-0.987,3.84E-05
-0.984,3.85E-05
-0.981,3.86E-05
-0.978,3.87E-05
-0.975,3.88E-05
-0.972,3.89E-05
-0.969,3.90E-05
-0.966,3.90E-05
-0.963,3.92E-05
-0.96,3.92E-05
-0.957,3.93E-05
-0.954,3.94E-05
-0.951,3.95E-05
-0.948,3.97E-05
-0.945,3.98E-05
-0.942,3.99E-05
-0.939,4.00E-05
-0.936,4.01E-05
-0.933,4.02E-05
-0.93,4.03E-05
-0.927,4.05E-05
-0.924,4.06E-05
-0.921,4.07E-05
-0.918,4.08E-05
-0.915,4.10E-05
-0.912,4.11E-05
-0.909,4.13E-05
-0.906,4.15E-05
-0.903,4.16E-05
-0.9,4.18E-05
-0.897,4.20E-05
-0.894,4.22E-05
-0.891,4.24E-05
-0.888,4.26E-05
-0.885,4.28E-05
-0.882,4.31E-05
-0.879,4.34E-05
-0.876,4.37E-05
-0.873,4.40E-05
-0.87,4.44E-05
-0.867,4.48E-05
-0.864,4.52E-05
-0.861,4.57E-05
-0.858,4.62E-05
-0.855,4.67E-05
-0.852,4.73E-05
-0.849,4.79E-05
-0.846,4.86E-05
-0.843,4.93E-05
-0.84,5.00E-05
-0.837,5.08E-05
-0.834,5.17E-05
-0.831,5.26E-05
-0.828,5.36E-05
-0.825,5.46E-05
-0.822,5.56E-05
-0.819,5.67E-05
-0.816,5.78E-05
-0.813,5.90E-05
-0.81,6.02E-05
-0.807,6.14E-05
-0.804,6.27E-05
-0.801,6.40E-05
-0.798,6.53E-05
-0.795,6.66E-05
-0.792,6.79E-05
-0.789,6.91E-05
-0.786,7.04E-05
-0.783,7.16E-05
-0.78,7.28E-05
-0.777,7.39E-05
-0.774,7.49E-05
-0.771,7.58E-05
-0.768,7.65E-05
-0.765,7.70E-05
-0.762,7.73E-05
-0.759,7.74E-05
-0.756,7.72E-05
-0.753,7.67E-05
-0.75,7.58E-05
-0.747,7.48E-05
-0.744,7.35E-05
-0.741,7.20E-05
-0.738,7.04E-05
-0.735,6.87E-05
-0.732,6.70E-05
-0.729,6.53E-05
-0.726,6.37E-05
-0.723,6.21E-05
-0.72,6.07E-05
-0.717,5.94E-05
-0.714,5.83E-05
-0.711,5.73E-05
-0.708,5.64E-05
-0.705,5.56E-05
-0.702,5.50E-05
-0.699,5.44E-05
-0.696,5.39E-05
-0.693,5.35E-05
-0.69,5.32E-05
-0.687,5.29E-05
-0.684,5.27E-05
-0.681,5.25E-05
-0.678,5.23E-05
-0.675,5.22E-05
-0.672,5.21E-05
-0.669,5.20E-05
-0.666,5.20E-05
-0.663,5.19E-05
-0.66,5.19E-05
-0.657,5.19E-05
-0.654,5.19E-05
-0.651,5.19E-05
-0.648,5.20E-05
-0.645,5.20E-05
-0.642,5.20E-05
-0.639,5.21E-05
-0.636,5.22E-05
-0.633,5.22E-05
-0.63,5.23E-05
-0.627,5.24E-05
-0.624,5.25E-05
-0.621,5.26E-05
-0.618,5.27E-05
-0.615,5.28E-05
-0.612,5.30E-05
-0.609,5.31E-05
-0.606,5.32E-05
-0.603,5.34E-05
-0.6,5.36E-05
-0.597,5.38E-05
-0.594,5.40E-05
-0.591,5.43E-05
-0.588,5.46E-05
-0.585,5.49E-05
-0.582,5.52E-05
-0.579,5.55E-05
-0.576,5.59E-05
-0.573,5.64E-05
-0.57,5.68E-05
-0.567,5.74E-05
-0.564,5.80E-05
-0.561,5.86E-05
-0.558,5.93E-05
-0.555,6.01E-05
-0.552,6.09E-05
-0.549,6.17E-05
-0.546,6.27E-05
-0.543,6.36E-05
-0.54,6.47E-05
-0.537,6.57E-05
-0.534,6.68E-05
-0.531,6.79E-05
-0.528,6.90E-05
-0.525,7.02E-05
-0.522,7.13E-05
-0.519,7.23E-05
-0.516,7.33E-05
-0.513,7.42E-05
-0.51,7.49E-05
-0.507,7.53E-05
-0.504,7.53E-05
-0.501,7.49E-05
-0.498,7.39E-05
-0.495,7.28E-05
-0.492,7.15E-05
-0.489,7.03E-05
-0.486,6.91E-05
-0.483,6.76E-05
-0.48,6.56E-05
-0.477,6.39E-05
-0.474,6.32E-05
-0.471,6.29E-05
-0.468,6.29E-05
-0.465,6.28E-05
-0.462,6.28E-05
-0.459,6.28E-05
-0.456,6.27E-05
-0.453,6.27E-05
-0.45,6.27E-05
-0.447,6.27E-05
-0.444,6.26E-05
-0.441,6.26E-05
-0.438,6.26E-05
-0.435,6.25E-05
-0.432,6.25E-05
-0.429,6.24E-05
-0.426,6.24E-05
-0.423,6.23E-05
-0.42,6.22E-05
-0.417,6.21E-05
-0.414,6.20E-05
-0.411,6.19E-05
-0.408,6.18E-05
-0.405,6.17E-05
-0.402,6.15E-05
-0.399,6.14E-05
-0.396,6.13E-05
-0.393,6.11E-05
-0.39,6.10E-05
-0.387,6.08E-05
-0.384,6.07E-05
-0.381,6.05E-05
-0.378,6.04E-05
-0.375,6.03E-05
-0.372,6.02E-05
-0.369,6.00E-05
-0.366,6.00E-05
-0.363,5.99E-05
-0.36,5.98E-05
-0.357,5.97E-05
-0.354,5.97E-05
-0.351,5.96E-05
-0.348,5.96E-05
-0.345,5.96E-05
-0.342,5.95E-05
-0.339,5.95E-05
-0.336,5.95E-05
-0.333,5.95E-05
-0.33,5.95E-05
-0.327,5.94E-05
-0.324,5.94E-05
-0.321,5.94E-05
-0.318,5.94E-05
-0.315,5.94E-05
-0.312,5.94E-05
-0.309,5.93E-05
-0.306,5.93E-05
-0.303,5.93E-05
-0.3,5.93E-05
-0.297,5.93E-05
-0.294,5.93E-05
-0.291,5.93E-05
-0.288,5.93E-05
-0.285,5.93E-05
